"";"country";"reach";"employment";"temp_contract";"autonomy_selection";"autonomy_emphasis";"ethics_1";"ethics_2";"ethics_3";"ethics_4";"work_experience";"trust_parliament";"trust_government";"trust_parties";"trust_politicians"
"300";"Denmark";"Local";"Full-time";"Permanent";4;5;1;4;4;1;28;4;4;3;3
"301";"Germany";"Regional";"Freelancer";NA;4;5;1;3;1;1;30;3;3;2;2
"302";"Germany";"Local";"Full-time";"Permanent";4;4;1;4;2;3;24;3;3;3;3
"303";"Switzerland";"Regional";"Part-time";"Permanent";5;4;2;5;1;3;2;3;2;3;3
"304";"UK";"Transnational";"Full-time";"Permanent";5;5;1;1;5;3;25;1;1;1;1
"305";"UK";"Transnational";"Freelancer";NA;5;5;1;2;4;1;16;3;4;3;3
"306";"Denmark";"National";"Full-time";"Permanent";4;4;2;4;1;4;10;3;2;2;3
"307";"UK";"National";"Full-time";"Permanent";5;5;1;5;2;5;25;1;1;1;1
"308";"UK";"Local";"Full-time";"Permanent";5;5;1;4;2;5;24;2;3;2;4
"309";"UK";"Local";"Full-time";"Permanent";5;5;1;4;3;3;28;3;3;2;2
"310";"Denmark";"National";"Full-time";"Permanent";2;4;1;2;2;3;28;4;3;2;2
"311";"Switzerland";"National";"Part-time";"Permanent";4;4;1;2;1;2;23;3;4;2;3
"312";"Switzerland";"National";"Full-time";"Permanent";4;4;2;4;2;3;10;4;3;3;4
"313";"Denmark";"National";"Full-time";NA;4;4;5;2;1;1;13;3;3;3;3
"314";"UK";"Transnational";"Full-time";"Permanent";5;5;2;4;4;4;35;3;4;2;3
"315";"Denmark";"National";"Full-time";"Permanent";4;3;4;4;2;2;5;3;2;2;2
"316";"Austria";"Regional";"Full-time";"Permanent";4;4;1;5;3;2;27;2;2;2;2
"317";"Switzerland";"Local";"Full-time";"Permanent";4;4;1;5;3;3;20;4;4;4;4
"318";"Denmark";"National";"Full-time";"Permanent";4;5;1;3;3;1;NA;1;1;1;1
"319";"Denmark";"National";"Full-time";"Permanent";3;4;1;4;3;4;19;3;3;3;3
"320";"Denmark";"National";"Full-time";"Permanent";4;4;1;2;2;1;30;3;2;2;2
"321";"Denmark";"Local";"Full-time";"Permanent";4;4;4;4;2;4;3;3;3;3;3
"322";"Austria";"National";"Full-time";"Permanent";4;4;1;1;1;1;10;3;3;3;3
"323";"Denmark";"National";"Full-time";"Permanent";4;5;2;4;2;4;4;3;3;3;3
"324";"UK";"National";"Full-time";"Permanent";5;5;1;5;1;4;51;2;3;2;3
"325";"Austria";"National";"Full-time";"Permanent";4;3;2;4;3;3;17;4;4;3;3
"326";"Germany";"Local";"Full-time";"Permanent";3;4;1;5;2;3;16;3;3;3;3
"327";"Switzerland";"National";"Part-time";"Permanent";4;4;2;4;2;2;9;3;4;2;3
"328";"Germany";"National";"Freelancer";NA;NA;NA;1;5;2;3;21;5;5;4;2
"329";"Austria";"Regional";"Full-time";"Permanent";3;4;1;5;2;1;8;2;1;1;1
"330";"Denmark";"National";"Freelancer";NA;4;4;5;5;1;5;7;4;3;4;4
"331";"Denmark";"Regional";"Full-time";"Permanent";4;4;4;4;2;4;10;2;2;2;2
"332";"Austria";"Regional";"Full-time";"Permanent";4;4;1;2;1;1;20;3;3;2;3
"333";"Denmark";"National";"Freelancer";NA;4;4;1;2;1;2;45;3;3;3;3
"334";"Austria";"National";"Full-time";"Permanent";3;4;1;3;2;1;30;2;3;2;3
"335";"UK";"National";"Full-time";"Permanent";2;2;2;4;3;2;40;3;3;3;3
"336";"Denmark";"National";"Full-time";"Temporary";4;4;2;5;2;4;5;2;1;1;2
"337";"Switzerland";"Regional";"Full-time";"Permanent";5;5;1;1;2;4;23;3;3;2;2
"338";"Denmark";"Regional";"Freelancer";NA;4;4;3;4;4;5;28;3;3;3;3
"339";"Denmark";"National";"Full-time";"Permanent";5;5;2;4;3;4;10;3;3;3;3
"340";"Germany";"Regional";"Full-time";"Permanent";3;4;2;2;3;2;15;4;4;3;3
"341";"Denmark";"National";"Freelancer";NA;3;4;1;2;2;4;12;4;4;4;4
"342";"Switzerland";"Regional";"Full-time";"Permanent";4;5;1;3;3;1;15;2;1;2;3
"343";"Denmark";"National";"Freelancer";NA;4;4;2;4;4;2;32;4;3;2;3
"344";"UK";"Transnational";"Full-time";"Permanent";3;4;2;5;2;5;4;3;3;3;3
"345";"Germany";"National";"Part-time";"Permanent";2;4;1;5;1;2;27;3;3;1;3
"346";"Denmark";"Local";"Full-time";"Permanent";5;5;3;5;5;4;19;3;3;3;3
"347";"Switzerland";"Regional";"Full-time";"Permanent";5;5;1;5;3;1;20;3;4;3;2
"348";"Austria";"National";"Part-time";"Permanent";4;5;1;3;2;1;35;4;3;3;3
"349";"Denmark";"National";"Full-time";"Temporary";5;5;1;3;2;3;10;2;2;2;2
"350";"Switzerland";"National";"Part-time";"Permanent";4;5;3;3;2;2;10;2;2;2;2
"351";"Denmark";"Regional";"Full-time";"Permanent";4;3;2;4;2;4;2;4;3;2;3
"352";"Denmark";"National";"Freelancer";NA;2;1;2;4;2;4;9;3;3;3;3
"353";"Austria";"National";"Full-time";"Permanent";4;4;1;3;2;1;17;3;3;3;3
"354";"Denmark";"National";"Full-time";"Permanent";4;5;2;4;4;4;8;4;3;3;3
"355";"Germany";"Regional";"Freelancer";NA;3;4;3;4;2;4;9;4;3;3;4
"356";"Austria";"Regional";"Full-time";"Permanent";4;5;1;3;2;3;NA;2;2;2;1
"357";"Germany";"National";"Full-time";"Permanent";3;3;1;2;2;2;10;2;3;2;2
"358";"Germany";"Regional";"Full-time";"Permanent";4;4;3;3;2;3;20;3;3;2;3
"359";"Denmark";"National";"Full-time";"Permanent";3;3;1;1;2;2;25;3;3;2;3
"360";"Denmark";"National";"Full-time";"Permanent";5;5;2;2;2;3;14;2;1;2;2
"361";"Denmark";"National";"Full-time";"Permanent";3;3;4;2;2;5;10;4;4;3;3
"362";"UK";"Regional";"Full-time";"Permanent";4;4;1;4;2;4;26;4;4;3;2
"363";"Austria";"Regional";"Full-time";"Permanent";4;4;2;5;5;4;23;2;2;1;2
"364";"Denmark";"Local";"Full-time";NA;4;3;2;4;2;4;30;2;2;2;2
"365";"Denmark";"National";"Full-time";"Permanent";4;4;2;2;2;1;17;4;3;3;3
"366";"Switzerland";"Transnational";"Full-time";"Temporary";4;4;2;4;2;2;1;3;3;2;2
"367";"Denmark";"National";"Freelancer";NA;3;3;2;2;2;2;5;2;2;2;2
"368";"Austria";"National";"Full-time";"Permanent";3;3;1;3;4;2;31;4;3;2;3
"369";"Switzerland";"Regional";"Part-time";"Permanent";3;4;1;4;2;2;8;4;4;2;3
"370";"UK";"National";"Full-time";"Permanent";3;3;1;1;1;4;20;3;3;3;3
"371";"Denmark";"National";"Full-time";"Permanent";4;4;4;4;4;4;30;4;3;2;3
"372";"Denmark";"National";"Part-time";"Permanent";5;5;1;2;1;2;10;1;1;1;1
"373";"Austria";"National";"Full-time";"Permanent";4;4;3;3;3;3;8;3;2;3;3
"374";"Switzerland";"Local";"Freelancer";NA;4;4;2;4;2;5;3;4;4;3;3
"375";"Denmark";"National";"Freelancer";NA;4;4;2;2;1;2;38;3;3;3;3
"376";"Germany";"National";"Part-time";"Permanent";3;1;1;3;1;3;30;3;2;3;2
"377";"UK";"National";"Full-time";"Permanent";2;5;2;5;3;5;10;1;1;1;1
"378";"Denmark";"Regional";"Freelancer";NA;5;3;1;1;2;4;16;5;4;2;3
"379";"Switzerland";"National";"Full-time";"Temporary";3;3;1;1;1;2;2;3;3;3;3
"380";"Switzerland";"National";"Part-time";"Permanent";4;4;1;4;2;2;19;4;5;3;2
"381";"Austria";"National";"Full-time";"Permanent";4;4;1;3;3;1;8;3;2;3;3
"382";"UK";"Transnational";"Full-time";"Permanent";4;5;1;3;1;2;5;5;3;3;2
"383";"UK";"National";"Full-time";"Permanent";5;5;1;2;2;1;30;2;1;1;1
"384";"Germany";"Local";"Full-time";"Permanent";5;5;2;5;2;3;19;5;4;2;3
"385";"Germany";"Regional";"Full-time";"Permanent";4;4;1;4;3;2;29;4;4;3;4
"386";"Denmark";"National";"Full-time";"Permanent";4;4;1;2;2;2;24;2;1;2;2
"387";"Switzerland";"National";"Part-time";"Permanent";4;4;3;3;3;3;15;4;4;3;3
"388";"UK";"Transnational";"Freelancer";NA;3;3;2;4;4;5;15;3;2;2;2
"389";"Germany";"Regional";"Freelancer";NA;2;4;2;3;1;3;17;4;4;3;3
"390";"Germany";"National";"Full-time";"Permanent";3;3;1;2;1;2;16;3;3;3;3
"391";"Austria";"National";"Full-time";"Permanent";4;4;2;4;1;1;21;3;1;1;1
"392";"Switzerland";"Local";"Full-time";"Permanent";3;4;2;3;2;3;6;4;4;3;3
"393";"Denmark";"Regional";"Full-time";"Permanent";2;2;1;4;2;2;8;3;2;2;2
"394";"Switzerland";"Regional";"Full-time";"Permanent";4;4;1;5;3;5;30;3;3;3;3
"395";"Switzerland";"National";"Full-time";"Permanent";4;5;2;2;1;5;1;4;4;2;3
"396";"UK";"Transnational";"Full-time";"Permanent";3;3;1;5;5;4;1;3;3;3;3
"397";"Switzerland";"National";"Part-time";"Permanent";4;4;2;4;2;1;21;4;4;4;4
"398";"Germany";"National";"Full-time";"Permanent";4;4;1;1;1;1;12;3;3;3;3
"399";"Germany";"Regional";"Freelancer";NA;5;5;1;1;1;1;26;4;4;3;3
"400";"Denmark";"National";"Full-time";"Permanent";5;5;1;3;1;3;7;3;3;3;2
"401";"UK";"Transnational";"Full-time";"Permanent";3;3;1;1;1;1;20;2;2;2;2
"402";"Denmark";"National";"Full-time";"Permanent";4;5;2;2;1;4;18;4;4;3;4
"403";"Austria";"Local";"Full-time";"Permanent";3;4;1;1;1;1;23;3;3;2;3
"404";"UK";"National";"Part-time";"Temporary";5;5;2;5;4;4;30;2;2;2;1
"405";"Switzerland";"Local";"Full-time";"Permanent";4;5;2;4;4;3;15;3;3;2;2
"406";"Germany";"National";"Full-time";"Permanent";5;5;1;1;1;2;15;4;4;3;3
"407";"UK";"Transnational";"Full-time";"Permanent";5;5;1;2;2;3;35;3;3;3;3
"408";"Switzerland";"Regional";"Full-time";"Permanent";4;4;1;4;2;2;11;4;3;2;3
"409";"Denmark";"National";"Freelancer";NA;4;4;3;3;3;3;3;4;3;2;3
"410";"UK";"National";"Full-time";"Permanent";4;5;1;2;1;2;15;2;1;2;2
"411";"Switzerland";"Regional";"Full-time";"Permanent";2;3;1;1;1;1;30;2;3;2;2
"412";"Denmark";"Local";"Full-time";"Permanent";4;4;2;4;4;4;20;4;3;3;3
"413";"Denmark";"National";"Full-time";"Permanent";4;4;1;1;4;2;8;4;3;3;3
"414";"Germany";"Local";"Full-time";"Permanent";4;5;1;2;3;4;24;2;2;1;1
"415";"Austria";"Local";"Full-time";"Permanent";4;5;1;3;2;1;23;3;3;1;2
"416";"UK";"National";"Full-time";"Permanent";3;4;1;4;2;2;17;3;3;3;3
"417";"Switzerland";"National";"Full-time";"Permanent";4;4;1;5;4;4;17;4;4;3;3
"418";"Switzerland";"Regional";"Part-time";"Permanent";4;4;2;3;2;4;21;5;4;4;4
"419";"Denmark";"National";"Freelancer";NA;5;4;2;2;2;2;28;3;3;2;3
"420";"Switzerland";"Regional";"Full-time";"Permanent";4;4;1;2;2;4;23;3;3;2;2
"421";"Switzerland";"Local";"Freelancer";NA;4;4;2;4;2;2;2;4;4;3;3
"422";"Germany";"National";"Full-time";"Permanent";3;3;1;1;1;1;29;3;3;3;3
"423";"Denmark";"National";"Full-time";"Permanent";2;3;1;4;3;5;4;4;4;4;4
"424";"Denmark";"National";"Full-time";"Permanent";4;4;2;5;1;5;8;4;3;3;3
"425";"Denmark";"National";"Part-time";"Permanent";4;4;3;3;3;3;14;2;2;2;2
"426";"Denmark";"National";"Freelancer";NA;4;4;2;4;4;2;28;3;3;3;3
"427";"Switzerland";"Regional";"Full-time";"Permanent";5;4;1;5;2;4;14;3;3;3;3
"428";"Austria";"National";"Full-time";"Permanent";5;5;1;2;2;1;31;3;3;2;2
"429";"UK";"Local";"Full-time";"Permanent";5;5;4;4;2;4;8;2;2;1;2
"430";"Germany";"National";"Full-time";"Permanent";5;5;1;1;1;1;8;1;1;1;1
"431";"Denmark";"National";"Full-time";"Permanent";2;3;4;4;4;4;15;2;2;2;2
"432";"Switzerland";"Regional";"Full-time";"Temporary";5;4;2;4;2;2;4;3;3;2;2
"433";"UK";"National";"Full-time";"Permanent";4;4;2;4;3;4;10;3;3;3;3
"434";"Switzerland";"Regional";"Full-time";"Permanent";4;4;2;5;2;3;18;4;4;4;4
"435";"Germany";"Regional";"Part-time";"Permanent";4;5;1;2;1;1;39;2;2;1;2
"436";"Denmark";"Regional";"Full-time";"Permanent";4;4;2;3;2;4;8;2;2;2;2
"437";"Germany";"Local";"Freelancer";NA;4;3;2;4;2;3;7;2;2;2;2
"438";"Germany";"Local";"Freelancer";NA;4;4;1;3;1;1;30;3;2;2;2
"439";"UK";"Transnational";"Full-time";"Permanent";5;5;1;4;4;5;12;4;4;3;3
"440";"Germany";"Regional";"Freelancer";NA;5;4;1;2;2;3;10;4;3;4;3
"441";"Switzerland";"Regional";"Full-time";"Permanent";4;4;1;2;1;1;20;3;4;2;2
"442";"Germany";"Regional";"Full-time";"Permanent";4;4;2;3;4;3;39;3;2;3;2
"443";"Austria";"National";"Part-time";"Permanent";3;3;1;5;3;3;42;4;2;2;3
"444";"Denmark";"Regional";"Full-time";"Temporary";4;5;2;3;1;3;35;3;3;3;3
"445";"Germany";"Regional";"Full-time";"Permanent";4;4;1;2;1;1;40;2;3;3;2
"446";"UK";"Transnational";"Full-time";"Permanent";3;4;1;4;3;2;8;3;3;2;2
"447";"Germany";"Regional";"Freelancer";NA;4;5;2;2;4;1;23;2;1;2;2
"448";"Austria";"Regional";"Full-time";"Permanent";4;4;1;2;2;2;15;3;3;3;3
"449";"Switzerland";"National";"Full-time";"Permanent";4;4;1;1;1;1;32;3;3;2;2
"450";"Austria";"National";"Full-time";"Permanent";4;4;2;3;3;4;17;2;2;1;3
"451";"UK";"National";"Full-time";"Permanent";5;5;1;3;1;3;4;3;3;2;2
"452";"Austria";"National";"Freelancer";NA;4;4;1;4;5;2;30;2;2;2;2
"453";"Switzerland";"Local";"Part-time";"Permanent";5;5;2;3;2;3;3;3;3;3;2
"454";"Switzerland";"National";"Full-time";"Permanent";3;3;1;4;3;3;19;4;4;4;4
"455";"Austria";"Regional";"Full-time";"Permanent";4;4;1;4;3;4;5;2;2;2;2
"456";"Germany";"Regional";"Full-time";"Permanent";3;4;1;5;2;1;26;1;2;2;1
"457";"Denmark";"Local";"Freelancer";NA;4;4;1;5;1;5;40;3;3;3;3
"458";"Austria";"National";"Full-time";"Permanent";4;5;1;1;3;2;17;3;3;3;3
"459";"Denmark";"Regional";"Full-time";"Permanent";4;3;2;2;1;3;29;3;3;1;1
"460";"Germany";"Regional";"Full-time";"Permanent";5;5;1;1;3;2;16;4;4;4;3
"461";"Denmark";"Regional";"Full-time";"Permanent";5;5;1;2;5;1;50;3;1;2;2
"462";"Denmark";"National";"Full-time";"Permanent";3;3;1;4;4;4;3;4;4;3;3
"463";"Germany";"National";"Full-time";"Permanent";3;5;2;4;3;4;4;5;5;4;4
"464";"Switzerland";"Regional";"Full-time";"Permanent";4;4;1;2;1;1;21;4;4;3;3
"465";"Denmark";"National";"Full-time";"Permanent";3;3;2;2;4;2;8;5;3;3;3
"466";"Austria";"Regional";"Full-time";"Permanent";3;4;2;4;2;2;10;4;4;3;3
"467";"Denmark";"National";"Full-time";"Permanent";4;4;2;4;4;2;5;4;3;2;2
"468";"Germany";"Local";"Full-time";"Permanent";5;5;1;2;1;1;20;3;3;2;3
"469";"Switzerland";"National";"Part-time";"Permanent";3;4;1;1;1;3;20;3;3;2;2
"470";"UK";"National";"Full-time";"Permanent";3;2;1;4;4;1;3;2;2;2;2
"471";"Austria";"National";"Full-time";"Permanent";4;4;1;4;2;1;15;4;3;3;3
"472";"Austria";"National";"Full-time";"Permanent";5;5;1;3;3;1;46;2;2;1;1
"473";"UK";"National";"Full-time";"Permanent";4;3;1;4;1;2;3;3;3;2;2
"474";"UK";"National";"Freelancer";NA;3;2;2;4;4;5;NA;2;2;2;2
"475";"Germany";"Regional";"Full-time";"Permanent";3;3;2;4;2;3;4;4;4;3;3
"476";"UK";"Transnational";"Full-time";"Permanent";5;5;1;3;2;2;22;3;3;3;3
"477";"Switzerland";"National";"Part-time";"Permanent";4;4;3;3;2;4;9;4;4;3;3
"478";"Switzerland";"Regional";"Full-time";"Permanent";4;4;1;3;4;3;8;3;3;3;3
"479";"UK";"Regional";"Full-time";"Permanent";4;4;1;2;4;2;25;3;3;2;2
"480";"Denmark";"National";"Full-time";"Permanent";4;4;4;4;4;4;12;2;1;1;2
"481";"UK";"Transnational";"Freelancer";NA;4;4;1;4;4;1;26;3;3;3;3
"482";"Switzerland";"National";"Part-time";"Permanent";4;4;2;3;2;3;12;2;2;1;2
"483";"Austria";"National";"Full-time";"Permanent";4;4;1;4;4;1;25;3;3;3;3
"484";"Denmark";"National";"Full-time";NA;4;4;1;1;2;3;15;3;2;2;3
"485";"Austria";"National";"Part-time";"Permanent";3;4;1;4;2;2;7;3;3;2;3
"486";"Denmark";"National";"Full-time";"Permanent";3;3;1;4;2;2;9;3;3;2;3
"487";"UK";"Regional";"Full-time";"Permanent";4;4;1;1;1;1;34;2;2;2;2
"488";"Denmark";"National";"Freelancer";NA;4;4;2;3;3;2;5;2;2;2;2
"489";"Austria";"Regional";"Full-time";"Temporary";5;5;2;5;3;3;30;3;2;2;2
"490";"Denmark";"National";"Freelancer";NA;5;5;1;4;5;3;30;2;2;1;1
"491";"Denmark";"Regional";"Part-time";"Permanent";3;4;2;3;4;2;37;4;3;3;3
"492";"UK";"National";"Freelancer";NA;4;4;2;5;4;5;16;2;2;2;2
"493";"Switzerland";"Local";"Freelancer";NA;5;4;2;1;4;1;15;3;4;2;2
"494";"Germany";"Regional";"Full-time";"Permanent";4;5;1;1;1;2;26;4;3;3;3
"495";"Germany";"Local";"Full-time";"Permanent";5;5;2;1;1;3;20;2;2;2;3
"496";"Germany";"National";"Full-time";"Permanent";3;3;1;4;1;1;4;4;3;3;3
"497";"UK";"National";"Full-time";"Permanent";5;5;1;4;4;1;21;3;3;3;3
"498";"UK";"Regional";"Full-time";"Permanent";4;5;2;4;2;1;3;3;2;3;2
"499";"Germany";"Regional";"Full-time";"Permanent";4;3;1;5;1;3;7;3;3;3;4
"500";"Austria";"Regional";"Full-time";"Permanent";4;4;1;4;2;4;21;4;4;3;3
"501";"Denmark";"Regional";"Full-time";"Permanent";1;1;4;2;1;2;20;4;2;2;3
"502";"Austria";"National";"Full-time";"Permanent";3;4;1;3;1;1;16;3;2;2;3
"503";"Denmark";"Regional";"Full-time";"Permanent";4;4;1;2;1;4;35;4;3;3;3
"504";"Austria";"National";"Full-time";"Permanent";4;3;3;3;3;3;27;4;4;3;2
"505";"Switzerland";"National";"Part-time";NA;3;3;2;4;2;2;2;4;4;3;3
"506";"Denmark";"Regional";"Freelancer";NA;3;5;1;1;1;1;10;2;1;2;2
"507";"Austria";"National";"Full-time";"Permanent";4;5;2;4;2;2;18;3;3;2;2
"508";"UK";"National";"Freelancer";NA;5;4;1;1;1;1;30;3;3;3;3
"509";"Denmark";"National";"Freelancer";NA;4;4;3;4;4;3;NA;3;3;3;3
"510";"Denmark";"National";"Full-time";"Permanent";4;4;1;1;1;1;17;3;2;2;2
"511";"Denmark";"National";"Freelancer";NA;3;3;2;4;3;2;40;4;4;4;3
"512";"Denmark";"National";"Full-time";"Permanent";4;4;1;4;4;2;4;3;3;2;2
"513";"Austria";"National";"Full-time";"Permanent";4;5;1;2;1;2;16;4;4;4;3
"514";"Denmark";"National";"Full-time";"Permanent";3;3;4;4;2;5;4;3;2;1;2
"515";"Switzerland";"Local";"Part-time";"Permanent";5;5;1;4;2;1;20;3;3;3;3
"516";"Germany";"Local";"Freelancer";NA;4;4;2;3;2;3;20;2;2;2;2
"517";"Switzerland";"Regional";"Part-time";"Permanent";4;4;1;1;1;5;20;3;3;2;2
"518";"UK";"Transnational";"Full-time";"Permanent";4;4;1;4;4;4;30;3;3;3;3
"519";"Denmark";"National";"Full-time";"Temporary";4;2;1;2;1;1;7;2;2;1;1
"520";"Switzerland";"Regional";"Full-time";"Permanent";4;5;2;4;2;2;17;4;4;3;3
"521";"Denmark";"National";"Freelancer";NA;5;5;2;3;1;1;30;3;1;1;1
"522";"UK";"National";"Freelancer";NA;4;4;1;4;2;1;25;3;2;2;2
"523";"Austria";"National";"Full-time";"Permanent";4;4;1;4;3;2;5;3;3;2;2
"524";"Germany";"Regional";"Full-time";"Permanent";4;4;1;3;3;2;12;3;4;3;3
"525";"Denmark";"National";"Freelancer";NA;4;4;4;4;4;4;11;3;3;3;3
"526";"Austria";"National";"Full-time";"Permanent";4;4;1;3;1;1;37;2;2;2;3
"527";"UK";"National";"Freelancer";NA;5;4;4;4;2;4;25;3;3;3;3
"528";"Austria";"Regional";"Full-time";"Permanent";4;5;1;5;3;2;15;1;2;1;2
"529";"UK";"National";"Full-time";"Permanent";4;4;1;4;4;1;21;3;2;1;2
"530";"Denmark";"National";"Full-time";"Temporary";3;4;2;5;3;5;3;3;2;2;2
"531";"Denmark";"National";"Freelancer";NA;3;3;2;4;2;2;3;4;3;4;4
"532";"Denmark";"Regional";"Full-time";NA;4;4;2;2;2;3;41;3;3;3;3
"533";"Switzerland";"National";"Part-time";"Permanent";4;3;1;4;2;4;4;4;4;2;2
"534";"Denmark";"National";"Part-time";"Permanent";3;1;1;4;2;4;18;4;3;3;3
"535";"Switzerland";"Regional";"Full-time";"Permanent";5;5;1;4;1;1;25;4;4;3;3
"536";"Denmark";"National";"Full-time";NA;4;4;4;2;2;4;25;2;2;2;2
"537";"Switzerland";"Regional";"Part-time";"Permanent";5;5;1;1;5;1;8;2;2;2;2
"538";"Austria";"National";"Full-time";"Permanent";4;5;1;1;2;2;33;2;2;2;3
"539";"UK";"National";"Full-time";"Permanent";2;3;2;4;3;3;20;3;3;3;3
"540";"Denmark";"National";"Freelancer";NA;3;3;1;2;2;1;10;3;3;3;3
"541";"UK";"Transnational";"Full-time";"Permanent";4;3;1;4;2;2;24;3;2;3;3
"542";"UK";"Transnational";"Full-time";"Permanent";4;4;2;5;4;5;5;3;3;3;3
"543";"Denmark";"National";"Freelancer";NA;3;4;2;2;2;4;32;3;3;4;3
"544";"Denmark";"National";"Full-time";"Permanent";3;4;2;4;4;4;5;2;2;2;2
"545";"Germany";"Regional";"Full-time";"Permanent";4;5;1;3;1;1;30;5;4;3;3
"546";"Denmark";"Regional";"Full-time";"Permanent";4;4;2;4;4;2;11;3;3;2;2
"547";"Denmark";"National";"Full-time";"Permanent";4;3;4;5;2;4;4;2;2;1;1
"548";"UK";"National";"Full-time";"Permanent";4;5;4;4;4;5;18;3;3;3;3
"549";"Germany";"Regional";"Full-time";"Permanent";4;5;1;5;3;1;5;3;3;3;3
"550";"Germany";"Regional";"Full-time";"Permanent";3;4;1;3;1;3;6;3;4;2;1
"551";"Denmark";"National";"Full-time";"Permanent";2;2;4;4;2;4;2;3;3;3;3
"552";"Denmark";"National";"Full-time";"Permanent";4;3;1;1;4;1;20;3;3;3;3
"553";"Denmark";"National";"Freelancer";NA;5;5;1;4;1;2;10;2;2;2;2
"554";"Denmark";"National";"Full-time";"Permanent";4;4;3;4;3;4;2;2;3;2;2
"555";"UK";"National";"Full-time";"Permanent";3;4;2;4;4;4;21;2;2;2;2
"556";"Germany";"Regional";"Freelancer";NA;5;5;1;3;4;2;30;1;2;1;1
"557";"Austria";"Regional";"Full-time";"Permanent";5;5;1;2;3;1;40;3;2;2;2
"558";"Switzerland";"Regional";"Full-time";"Permanent";3;4;1;4;2;2;20;3;4;2;2
"559";"Austria";"Regional";"Full-time";"Permanent";5;NA;1;1;1;1;25;3;3;3;3
"560";"Denmark";"Regional";"Full-time";"Permanent";4;4;1;3;1;3;14;3;3;3;3
"561";"UK";"Transnational";"Full-time";"Permanent";4;5;1;4;5;5;8;2;1;2;2
"562";"Austria";"Regional";"Full-time";"Permanent";4;5;2;3;1;3;20;2;2;2;2
"563";"UK";"Transnational";"Full-time";"Permanent";4;4;2;3;1;2;15;1;1;1;1
"564";"Germany";"Regional";"Full-time";"Permanent";3;4;2;5;3;3;4;4;4;3;3
"565";"Switzerland";"Regional";"Full-time";"Permanent";3;2;2;5;3;3;18;4;4;2;3
"566";"Germany";"National";"Full-time";"Permanent";3;5;2;1;1;1;15;5;4;2;1
"567";"Switzerland";"National";"Part-time";"Permanent";3;4;2;4;3;5;7;3;3;3;3
"568";"Denmark";"National";"Full-time";"Permanent";4;4;1;5;4;4;5;4;3;3;3
"569";"Denmark";"National";"Freelancer";NA;4;4;2;2;1;4;22;3;3;3;3
"570";"Austria";"National";"Full-time";"Permanent";4;4;2;4;3;3;13;3;3;2;2
"571";"Switzerland";"National";"Full-time";"Permanent";4;4;2;5;4;2;15;4;4;4;3
"572";"Germany";"Regional";"Freelancer";NA;2;3;1;3;2;2;15;2;2;2;2
"573";"Austria";"Regional";"Full-time";"Permanent";4;4;1;4;3;3;8;2;3;2;2
"574";"UK";"National";"Full-time";"Permanent";3;2;1;4;2;3;3;2;2;2;2
"575";"Germany";"Regional";"Full-time";"Permanent";5;5;2;3;1;1;33;2;2;3;3
"576";"UK";"Transnational";"Full-time";"Permanent";4;5;1;1;1;1;20;3;3;2;2
"577";"Austria";"National";"Full-time";"Permanent";4;NA;2;2;2;2;27;3;4;2;2
"578";"Switzerland";"Regional";"Freelancer";NA;4;4;1;2;2;2;1;4;4;4;4
"579";"Denmark";"Local";"Full-time";"Temporary";2;3;2;2;4;2;23;4;3;3;3
"580";"Denmark";"Local";"Freelancer";NA;4;4;2;5;2;3;2;3;3;2;3
"581";"Switzerland";"National";"Part-time";"Permanent";4;4;1;4;3;2;20;3;3;3;2
"582";"Germany";"Local";"Full-time";"Permanent";5;5;1;4;1;1;26;2;2;2;2
"583";"Switzerland";"Regional";"Full-time";"Permanent";4;5;1;4;1;1;34;3;3;2;2
"584";"Denmark";"National";"Full-time";"Permanent";4;4;2;1;1;3;30;3;3;2;2
"585";"Germany";"National";"Full-time";"Permanent";3;5;2;3;2;2;17;3;2;3;3
"586";"Switzerland";"Local";"Full-time";"Permanent";4;4;1;3;3;2;25;2;3;2;2
"587";"Austria";"National";"Full-time";"Permanent";4;5;2;4;1;2;4;3;3;3;3
"588";"Austria";"National";"Full-time";"Permanent";4;4;1;4;1;1;27;2;2;1;2
"589";"UK";"Transnational";"Full-time";"Permanent";3;4;2;4;3;4;16;4;3;3;3
"590";"Switzerland";"National";"Full-time";"Permanent";4;5;1;2;2;1;6;3;4;3;3
"591";"Austria";"Regional";"Full-time";"Permanent";4;5;1;3;2;2;11;2;2;1;1
"592";"Switzerland";"National";"Full-time";"Permanent";5;5;1;2;2;1;30;3;3;3;3
"593";"Austria";"Regional";"Freelancer";NA;4;4;1;4;3;1;30;4;3;3;3
"594";"UK";"Regional";"Freelancer";NA;5;5;2;4;4;4;45;2;2;2;2
"595";"Austria";"National";"Full-time";"Permanent";4;5;1;3;3;5;25;4;4;4;4
"596";"Denmark";"National";"Full-time";"Permanent";4;4;2;2;2;2;11;3;3;2;2
"597";"Switzerland";"National";"Full-time";"Permanent";4;4;2;4;2;2;10;4;3;3;3
"598";"Denmark";"National";"Part-time";"Permanent";4;4;4;4;5;5;37;3;1;1;1
"599";"Denmark";"National";"Full-time";NA;4;5;2;2;2;3;21;3;2;2;3
"600";"Denmark";"Local";"Full-time";"Permanent";4;4;2;4;2;4;27;3;3;3;4
